period,MAU_ENG,MAU_APP,total_click,ratio
2021-01-01,527,924298,6029,0.0570
2021-01-02,358,888579,5790,0.0403
2021-01-03,392,893707,6119,0.0439
2021-01-04,387,899773,5634,0.0430
2021-01-05,375,938118,6497,0.0400
2021-01-06,345,934448,6369,0.0369
2021-01-07,412,918680,5933,0.0448
2021-01-08,375,900716,5643,0.0416
2021-01-09,439,992450,6818,0.0442
2021-01-10,451,1090995,7436,0.0413
2021-01-11,451,1092866,6105,0.0413
2021-01-12,336,1029798,5948,0.0326
2021-01-13,322,962131,5694,0.0335
2021-01-14,419,986990,6596,0.0425
2021-01-15,428,969244,6233,0.0442
2021-01-16,374,1038661,6635,0.0360
2021-01-17,621,1128044,7645,0.0551
2021-01-18,551,1175247,7829,0.0469
2021-01-19,476,1122913,8690,0.0424
2021-01-20,643,1138231,11737,0.0565
2021-01-21,1192,1218158,16656,0.0979
2021-01-22,1900,1203900,21017,0.1578
2021-01-23,1721,1234435,24617,0.1394
2021-01-24,1852,1302994,24199,0.1421
2021-01-25,2538,1312180,29677,0.1934
2021-01-26,2227,1215907,23938,0.1832
2021-01-27,1767,1230566,22491,0.1436
2021-01-28,2177,1205141,23111,0.1806
2021-01-29,1979,1166438,21839,0.1697
2021-01-30,2037,1274144,24313,0.1599
2021-01-31,1874,1223463,21126,0.1532
